Unprojected (Latitude/Longitude)|Unprojected (Latitude/Longitude)|+proj=longlat +ellps=WGS84 +no_defs|GEOGCS["WGS 84",DATUM["unknown",SPHEROID["WGS84",6378137,298.257223563]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]]|GEOGCS["GCS_WGS_1984",DATUM["D_WGS_1984",SPHEROID["WGS_1984",6378137.0,298.257223563]],PRIMEM["Greenwich",0.0],UNIT["Degree",0.0174532925199433]]|
State Plane - 1927|Alaska, Zone 7|+proj=tmerc +ellps=clrk66 +lon_0=-162 +lat_0=54 +k=0.9999 +x_0=213360.42672085345839 +y_0=0|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",54],PARAMETER["central_meridian",-162],PARAMETER["scale_factor",0.9999],PARAMETER["false_easting",213360.4267208535],PARAMETER["false_northing",0]]|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",54],PARAMETER["central_meridian",-162],PARAMETER["scale_factor",0.9999],PARAMETER["false_easting",213360.4267208535],PARAMETER["false_northing",0]]|
State Plane - 1927|Alaska, Zone 1|+proj=omerc +ellps=clrk66 +lonc=-133.6666666666 +lat_0=57 +alpha=-36.8698976460002 +k=0.9999 +x_0=5000000.0 +y_0=-5000000.0|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Hotine_Oblique_Mercator"],PARAMETER["latitude_of_center",57],PARAMETER["longitude_of_center",-133.6666666666],PARAMETER["azimuth",-36.8698976460002],PARAMETER["rectified_grid_angle",0],PARAMETER["scale_factor",0.9999],PARAMETER["false_easting",5000000],PARAMETER["false_northing",-5000000]]|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Hotine_Oblique_Mercator"],PARAMETER["latitude_of_center",57],PARAMETER["longitude_of_center",-133.6666666666],PARAMETER["azimuth",-36.8698976460002],PARAMETER["rectified_grid_angle",0],PARAMETER["scale_factor",0.9999],PARAMETER["false_easting",5000000],PARAMETER["false_northing",-5000000]]|
State Plane - 1927|Alaska, Zone 2|+proj=tmerc +ellps=clrk66 +lon_0=-142 +lat_0=54 +k=0.9999 +x_0=152400.30480060962145 +y_0=0|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",54],PARAMETER["central_meridian",-142],PARAMETER["scale_factor",0.9999],PARAMETER["false_easting",152400.3048006096],PARAMETER["false_northing",0]]|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",54],PARAMETER["central_meridian",-142],PARAMETER["scale_factor",0.9999],PARAMETER["false_easting",152400.3048006096],PARAMETER["false_northing",0]]|
State Plane - 1927|Alaska, Zone 3|+proj=tmerc +ellps=clrk66 +lon_0=-146 +lat_0=54 +k=0.9999 +x_0=152400.30480060962145 +y_0=0|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",54],PARAMETER["central_meridian",-146],PARAMETER["scale_factor",0.9999],PARAMETER["false_easting",152400.3048006096],PARAMETER["false_northing",0]]|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",54],PARAMETER["central_meridian",-146],PARAMETER["scale_factor",0.9999],PARAMETER["false_easting",152400.3048006096],PARAMETER["false_northing",0]]|
State Plane - 1927|South Dakota, South|+proj=lcc +ellps=clrk66 +lon_0=-100.3333333333 +lat_0=42.3333333333 +lat_1=42.83333333333 +lat_2=44.3 +x_0=609601.21920243848581 +y_0=0|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",42.83333333333],PARAMETER["standard_parallel_2",44.3],PARAMETER["latitude_of_origin",42.3333333333],PARAMETER["central_meridian",-100.3333333333],PARAMETER["false_easting",609601.2192024385],PARAMETER["false_northing",0]]|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",42.83333333333],PARAMETER["standard_parallel_2",44.3],PARAMETER["latitude_of_origin",42.3333333333],PARAMETER["central_meridian",-100.3333333333],PARAMETER["false_easting",609601.2192024385],PARAMETER["false_northing",0]]|
State Plane - 1927|Connecticut|+proj=lcc +ellps=clrk66 +lon_0=-72.74 +lat_0=40.83333333333 +lat_1=41.1 +lat_2=41.86666666666 +x_0=182880.36576073153992 +y_0=0|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",41.1],PARAMETER["standard_parallel_2",41.86666666666],PARAMETER["latitude_of_origin",40.83333333333],PARAMETER["central_meridian",-72.74],PARAMETER["false_easting",182880.3657607315],PARAMETER["false_northing",0]]|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",41.1],PARAMETER["standard_parallel_2",41.86666666666],PARAMETER["latitude_of_origin",40.83333333333],PARAMETER["central_meridian",-72.74],PARAMETER["false_easting",182880.3657607315],PARAMETER["false_northing",0]]|
State Plane - 1927|Pennsylvania, South|+proj=lcc +ellps=clrk66 +lon_0=-77.75 +lat_0=39.3333333333 +lat_1=39.93333333333 +lat_2=40.96666666666 +x_0=609601.21920243848581 +y_0=0|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",39.93333333333],PARAMETER["standard_parallel_2",40.96666666666],PARAMETER["latitude_of_origin",39.3333333333],PARAMETER["central_meridian",-77.75],PARAMETER["false_easting",609601.2192024385],PARAMETER["false_northing",0]]|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",39.93333333333],PARAMETER["standard_parallel_2",40.96666666666],PARAMETER["latitude_of_origin",39.3333333333],PARAMETER["central_meridian",-77.75],PARAMETER["false_easting",609601.2192024385],PARAMETER["false_northing",0]]|
State Plane - 1927|Missouri, East|+proj=tmerc +ellps=clrk66 +lon_0=-90.5 +lat_0=35.83333333333 +k=0.99993333333333 +x_0=152400.30480060962145 +y_0=0|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",35.83333333333],PARAMETER["central_meridian",-90.5],PARAMETER["scale_factor",0.99993333333333],PARAMETER["false_easting",152400.3048006096],PARAMETER["false_northing",0]]|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",35.83333333333],PARAMETER["central_meridian",-90.5],PARAMETER["scale_factor",0.99993333333333],PARAMETER["false_easting",152400.3048006096],PARAMETER["false_northing",0]]|
State Plane - 1927|Colorado, South|+proj=lcc +ellps=clrk66 +lon_0=-105.5 +lat_0=36.6666666666 +lat_1=37.23333333333 +lat_2=38.43333333333 +x_0=609601.21920243848581 +y_0=0|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",37.23333333333],PARAMETER["standard_parallel_2",38.43333333333],PARAMETER["latitude_of_origin",36.6666666666],PARAMETER["central_meridian",-105.5],PARAMETER["false_easting",609601.2192024385],PARAMETER["false_northing",0]]|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",37.23333333333],PARAMETER["standard_parallel_2",38.43333333333],PARAMETER["latitude_of_origin",36.6666666666],PARAMETER["central_meridian",-105.5],PARAMETER["false_easting",609601.2192024385],PARAMETER["false_northing",0]]|
State Plane - 1927|Wyoming, West Central|+proj=tmerc +ellps=clrk66 +lon_0=-108.75 +lat_0=40.6666666666 +k=0.99994117647059 +x_0=152400.30480060962145 +y_0=0|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",40.6666666666],PARAMETER["central_meridian",-108.75],PARAMETER["scale_factor",0.99994117647059],PARAMETER["false_easting",152400.3048006096],PARAMETER["false_northing",0]]|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",40.6666666666],PARAMETER["central_meridian",-108.75],PARAMETER["scale_factor",0.99994117647059],PARAMETER["false_easting",152400.3048006096],PARAMETER["false_northing",0]]|
State Plane - 1927|South Carolina, South|+proj=lcc +ellps=clrk66 +lon_0=-81 +lat_0=31.83333333333 +lat_1=32.3333333333 +lat_2=33.6666666666 +x_0=609601.21920243848581 +y_0=0|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",32.3333333333],PARAMETER["standard_parallel_2",33.6666666666],PARAMETER["latitude_of_origin",31.83333333333],PARAMETER["central_meridian",-81],PARAMETER["false_easting",609601.2192024385],PARAMETER["false_northing",0]]|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",32.3333333333],PARAMETER["standard_parallel_2",33.6666666666],PARAMETER["latitude_of_origin",31.83333333333],PARAMETER["central_meridian",-81],PARAMETER["false_easting",609601.2192024385],PARAMETER["false_northing",0]]|
State Plane - 1927|North Carolina|+proj=lcc +ellps=clrk66 +lon_0=-79 +lat_0=33.75 +lat_1=34.3333333333 +lat_2=36.16666666666 +x_0=609601.21920243848581 +y_0=0|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",34.3333333333],PARAMETER["standard_parallel_2",36.16666666666],PARAMETER["latitude_of_origin",33.75],PARAMETER["central_meridian",-79],PARAMETER["false_easting",609601.2192024385],PARAMETER["false_northing",0]]|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",34.3333333333],PARAMETER["standard_parallel_2",36.16666666666],PARAMETER["latitude_of_origin",33.75],PARAMETER["central_meridian",-79],PARAMETER["false_easting",609601.2192024385],PARAMETER["false_northing",0]]|
State Plane - 1927|Wisconsin, North|+proj=lcc +ellps=clrk66 +lon_0=-90 +lat_0=45.16666666666 +lat_1=45.56666666666 +lat_2=46.76666666666 +x_0=609601.21920243848581 +y_0=0|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",45.56666666666],PARAMETER["standard_parallel_2",46.76666666666],PARAMETER["latitude_of_origin",45.16666666666],PARAMETER["central_meridian",-90],PARAMETER["false_easting",609601.2192024385],PARAMETER["false_northing",0]]|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",45.56666666666],PARAMETER["standard_parallel_2",46.76666666666],PARAMETER["latitude_of_origin",45.16666666666],PARAMETER["central_meridian",-90],PARAMETER["false_easting",609601.2192024385],PARAMETER["false_northing",0]]|
State Plane - 1927|Kentucky, North|+proj=lcc +ellps=clrk66 +lon_0=-84.24 +lat_0=37.4 +lat_1=37.96666666666 +lat_2=38.96666666666 +x_0=609601.21920243848581 +y_0=0|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",37.96666666666],PARAMETER["standard_parallel_2",38.96666666666],PARAMETER["latitude_of_origin",37.4],PARAMETER["central_meridian",-84.24],PARAMETER["false_easting",609601.2192024385],PARAMETER["false_northing",0]]|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",37.96666666666],PARAMETER["standard_parallel_2",38.96666666666],PARAMETER["latitude_of_origin",37.4],PARAMETER["central_meridian",-84.24],PARAMETER["false_easting",609601.2192024385],PARAMETER["false_northing",0]]|
State Plane - 1927|Michigan (old), Central|+proj=tmerc +ellps=b=6356813.9078 +lon_0=-85.75 +lat_0=41.5 +k=0.99990909090909 +x_0=152400.30480060962145 +y_0=0|PROJCS["unnamed",GEOGCS["unnamed ellipse",DATUM["unknown",SPHEROID["unnamed",6378137,298.257223563]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",41.5],PARAMETER["central_meridian",-85.75],PARAMETER["scale_factor",0.99990909090909],PARAMETER["false_easting",152400.3048006096],PARAMETER["false_northing",0]]|PROJCS["unnamed",GEOGCS["unnamed ellipse",DATUM["unknown",SPHEROID["unnamed",6378137,298.257223563]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",41.5],PARAMETER["central_meridian",-85.75],PARAMETER["scale_factor",0.99990909090909],PARAMETER["false_easting",152400.3048006096],PARAMETER["false_northing",0]]|
State Plane - 1927|Montana, North|+proj=lcc +ellps=clrk66 +lon_0=-109.5 +lat_0=46 +lat_1=47.85 +lat_2=48.716666666666 +x_0=609601.21920243848581 +y_0=0|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",47.85],PARAMETER["standard_parallel_2",48.716666666666],PARAMETER["latitude_of_origin",46],PARAMETER["central_meridian",-109.5],PARAMETER["false_easting",609601.2192024385],PARAMETER["false_northing",0]]|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",47.85],PARAMETER["standard_parallel_2",48.716666666666],PARAMETER["latitude_of_origin",46],PARAMETER["central_meridian",-109.5],PARAMETER["false_easting",609601.2192024385],PARAMETER["false_northing",0]]|
State Plane - 1927|Oregon, South|+proj=lcc +ellps=clrk66 +lon_0=-120.5 +lat_0=41.6666666666 +lat_1=42.3333333333 +lat_2=43 +x_0=609601.21920243848581 +y_0=0|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",42.3333333333],PARAMETER["standard_parallel_2",43],PARAMETER["latitude_of_origin",41.6666666666],PARAMETER["central_meridian",-120.5],PARAMETER["false_easting",609601.2192024385],PARAMETER["false_northing",0]]|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",42.3333333333],PARAMETER["standard_parallel_2",43],PARAMETER["latitude_of_origin",41.6666666666],PARAMETER["central_meridian",-120.5],PARAMETER["false_easting",609601.2192024385],PARAMETER["false_northing",0]]|
State Plane - 1927|Puerto Rico and Virgin Islands, Zone 2|+proj=lcc +ellps=clrk66 +lon_0=-66.43333333333 +lat_0=17.83333333333 +lat_1=18.03333333333 +lat_2=18.43333333333 +x_0=152400.30480060962145 +y_0=30480.06096012192575|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",18.03333333333],PARAMETER["standard_parallel_2",18.43333333333],PARAMETER["latitude_of_origin",17.83333333333],PARAMETER["central_meridian",-66.43333333333],PARAMETER["false_easting",152400.3048006096],PARAMETER["false_northing",30480.06096012193]]|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",18.03333333333],PARAMETER["standard_parallel_2",18.43333333333],PARAMETER["latitude_of_origin",17.83333333333],PARAMETER["central_meridian",-66.43333333333],PARAMETER["false_easting",152400.3048006096],PARAMETER["false_northing",30480.06096012193]]|
State Plane - 1927|Kansas, North|+proj=lcc +ellps=clrk66 +lon_0=-97 +lat_0=38.3333333333 +lat_1=38.7166666666666 +lat_2=39.783333333333 +x_0=609601.21920243848581 +y_0=0|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",38.7166666666666],PARAMETER["standard_parallel_2",39.783333333333],PARAMETER["latitude_of_origin",38.3333333333],PARAMETER["central_meridian",-97],PARAMETER["false_easting",609601.2192024385],PARAMETER["false_northing",0]]|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",38.7166666666666],PARAMETER["standard_parallel_2",39.783333333333],PARAMETER["latitude_of_origin",38.3333333333],PARAMETER["central_meridian",-97],PARAMETER["false_easting",609601.2192024385],PARAMETER["false_northing",0]]|
State Plane - 1927|Minnesota, Central|+proj=lcc +ellps=clrk66 +lon_0=-94.25 +lat_0=45 +lat_1=45.616666666666 +lat_2=47.04 +x_0=609601.21920243848581 +y_0=0|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",45.616666666666],PARAMETER["standard_parallel_2",47.04],PARAMETER["latitude_of_origin",45],PARAMETER["central_meridian",-94.25],PARAMETER["false_easting",609601.2192024385],PARAMETER["false_northing",0]]|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",45.616666666666],PARAMETER["standard_parallel_2",47.04],PARAMETER["latitude_of_origin",45],PARAMETER["central_meridian",-94.25],PARAMETER["false_easting",609601.2192024385],PARAMETER["false_northing",0]]|
State Plane - 1927|Texas, North Central|+proj=lcc +ellps=clrk66 +lon_0=-97.5 +lat_0=31.6666666666 +lat_1=32.13333333333 +lat_2=33.96666666666 +x_0=609601.21920243848581 +y_0=0|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",32.13333333333],PARAMETER["standard_parallel_2",33.96666666666],PARAMETER["latitude_of_origin",31.6666666666],PARAMETER["central_meridian",-97.5],PARAMETER["false_easting",609601.2192024385],PARAMETER["false_northing",0]]|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",32.13333333333],PARAMETER["standard_parallel_2",33.96666666666],PARAMETER["latitude_of_origin",31.6666666666],PARAMETER["central_meridian",-97.5],PARAMETER["false_easting",609601.2192024385],PARAMETER["false_northing",0]]|
State Plane - 1927|Rhode Island|+proj=tmerc +ellps=clrk66 +lon_0=-71.5 +lat_0=41.083333333333 +k=0.99999375000000 +x_0=152400.30480060962145 +y_0=0|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",41.083333333333],PARAMETER["central_meridian",-71.5],PARAMETER["scale_factor",0.99999375],PARAMETER["false_easting",152400.3048006096],PARAMETER["false_northing",0]]|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",41.083333333333],PARAMETER["central_meridian",-71.5],PARAMETER["scale_factor",0.99999375],PARAMETER["false_easting",152400.3048006096],PARAMETER["false_northing",0]]|
State Plane - 1927|West Virginia, South|+proj=lcc +ellps=clrk66 +lon_0=-81 +lat_0=36 +lat_1=37.483333333333 +lat_2=38.883333333333 +x_0=609601.21920243848581 +y_0=0|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",37.483333333333],PARAMETER["standard_parallel_2",38.883333333333],PARAMETER["latitude_of_origin",36],PARAMETER["central_meridian",-81],PARAMETER["false_easting",609601.2192024385],PARAMETER["false_northing",0]]|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",37.483333333333],PARAMETER["standard_parallel_2",38.883333333333],PARAMETER["latitude_of_origin",36],PARAMETER["central_meridian",-81],PARAMETER["false_easting",609601.2192024385],PARAMETER["false_northing",0]]|
State Plane - 1927|Florida, North|+proj=lcc +ellps=clrk66 +lon_0=-84.5 +lat_0=29 +lat_1=29.583333333333 +lat_2=30.75 +x_0=609601.21920243848581 +y_0=0|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",29.583333333333],PARAMETER["standard_parallel_2",30.75],PARAMETER["latitude_of_origin",29],PARAMETER["central_meridian",-84.5],PARAMETER["false_easting",609601.2192024385],PARAMETER["false_northing",0]]|PROJCS["unnamed",GEOGCS["Clarke 1866",DATUM["unknown",SPHEROID["clrk66",6378206.4,294.9786982139006]],PRIMEM["Greenwich",0],UNIT["degree",0.0174532925199433]],PROJECTION["Lambert_Conformal_Conic_2SP"],PARAMETER["standard_parallel_1",29.583333333333],PARAMETER["standard_parallel_2",30.75],PARAMETER["latitude_of_origin",29],PARAMETER["central_meridian",-84.5],PARAMETER["false_easting",609601.2192024385],PARAMETER["false_northing",0]]|
